path,size_bytes,last_commit_date,sqlite_hits,intelligence_dir_hits,openclaw_hits,vps_hits,todo_open_hits,phase1_hits,total_stale_hits,suggested_tier
docs/SESSION_NOTE_2026-04-29_operator_schedules.md,6659,2026-04-29,0,0,0,4,0,0,4,ARCHIVE (historical)
intelligence/DEPRECATED.md,2800,2026-04-29,0,3,1,0,0,0,4,DELETE (deprecated tree)
.claude/commands/create-plan.md,39031,2026-04-29,0,0,0,0,0,3,3,REVIEW (.claude tooling)
docs/CRON_RECONCILIATION.md,735,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/DAILY_DEEP_DIVE_DESIGN.md,18990,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/OPERATOR_SCHEDULES.md,5740,2026-04-29,0,0,0,3,0,0,3,UPDATE (has stale terms)
docs/SESSION_2026-04-13_S21_TEST_AND_FIXES.md,6670,2026-04-29,0,0,0,2,0,1,3,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-13.md,5061,2026-04-29,0,0,0,3,0,0,3,ARCHIVE (historical)
docs/TESTING.md,2656,2026-04-29,2,0,1,0,0,0,3,UPDATE (has stale terms)
.claude/agents/orchestrator.md,11363,2026-04-29,0,0,0,0,0,2,2,REVIEW (.claude tooling)
.claude/commands/next.md,6120,2026-04-29,0,0,0,0,2,0,2,REVIEW (.claude tooling)
.claude/commands/plan.md,4476,2026-04-29,0,0,0,0,0,2,2,REVIEW (.claude tooling)
.claude/hooks/README.md,6147,2026-04-29,0,0,0,0,2,0,2,REVIEW (.claude tooling)
AUDIT_SUMMARY_2026-04-13.md,6554,2026-04-29,0,0,2,0,0,0,2,ARCHIVE (point-in-time)
archive/session_artifacts/tmp_repair_entry.md,1993,2026-04-29,0,0,1,1,0,0,2,ARCHIVE-EXISTING
archive/session_artifacts/tmp_repair_entry2.md,4209,2026-04-29,0,0,0,2,0,0,2,ARCHIVE-EXISTING
docs/CONTAINER_MONITORING.md,6158,2026-04-29,0,0,2,0,0,0,2,UPDATE (has stale terms)
docs/CRON_SCHEDULE.md,4954,2026-04-29,0,0,0,2,0,0,2,UPDATE (has stale terms)
docs/LOG_COLLECTION_ARCHITECTURE.md,13175,2026-04-29,0,0,0,2,0,0,2,UPDATE (has stale terms)
docs/PERPLEXITY_PROMPT_MINING_INTELLIGENCE_CATALOG.md,7442,2026-04-29,1,0,0,1,0,0,2,UPDATE (has stale terms)
docs/REMAINING_WORK_2026-04-28.md,11905,2026-04-29,0,0,0,2,0,0,2,UPDATE (has stale terms)
docs/SESSION_COMPLETE_2026-04-13.md,4497,2026-04-29,0,0,0,1,0,1,2,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-10-late-night.md,4439,2026-04-29,0,0,0,0,0,2,2,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-10.md,3886,2026-04-29,0,0,0,2,0,0,2,ARCHIVE (historical)
docs/SESSION_LOG_2026-04-21.md,3562,2026-04-29,0,0,1,0,0,1,2,ARCHIVE (historical)
docs/WEB_GUI_OPERATOR_CONSOLE.md,7742,2026-04-29,0,0,0,2,0,0,2,UPDATE (has stale terms)
installer/macos-pkg/README.md,6300,2026-04-29,0,0,0,2,0,0,2,REVIEW
mg_import_tool/README.md,36431,2026-04-29,0,0,0,2,0,0,2,REVIEW
.claude/WORKFLOW.md,17086,2026-04-29,0,0,0,0,0,1,1,REVIEW (.claude tooling)
.claude/agents/architect.md,4900,2026-04-29,0,0,0,0,0,1,1,REVIEW (.claude tooling)
